year,rank,title,artist
1996,43,Anything,3T
1996,44,1979,The Smashing Pumpkins
1996,45,Diggin' on You,TLC
1996,46,"Why I Love You So Much"" / ""Ain't Nobody",Monica
1996,47,Kissin' You,Total
1996,48,Count on Me,Whitney HoustonandCeCe Winans
1996,49,Fantasy,Mariah Carey
1996,50,Time,Hootie & the Blowfish
1996,51,You'll See,Madonna
1996,52,Last Night,Az Yet
1996,53,Mouth,Merril Bainbridge
1996,54,"The Earth, the Sun, the Rain",Color Me Badd
1996,55,All the Things (Your Man Won't Do),Joe
1996,56,Wonderwall,Oasis
1996,57,"Woo Hah!! Got You All in Check"" / ""Everything Remains Raw",Busta Rhymes
1996,58,Tell Me,Groove Theory
1996,59,Elevators (Me & You),Outkast
1996,60,Hook,Blues Traveler
1996,61,Doin' It,LL Cool J
1996,62,Fastlove,George Michael
1996,63,"Touch Me, Tease Me",CasefeaturingFoxy Brown
1996,64,Tonite's tha Night,Kris Kross
1996,65,Children,Robert Miles
1996,66,Theme from Mission: Impossible,Adam ClaytonandLarry Mullen
1996,67,Closer to Free,BoDeans
1996,68,Just a Girl,No Doubt
1996,69,If Your Girl Only Knew,Aaliyah
1996,70,Lady,D'Angelo
1996,71,Key West Intermezzo (I Saw You First),John Mellencamp
1996,72,Pony,Ginuwine
1996,73,Nobody,Keith SweatfeaturingAthena Cage
1996,74,Old Man & Me (When I Get to Heaven),Hootie & the Blowfish
1996,75,If It Makes You Happy,Sheryl Crow
1996,76,As I Lay Me Down,Sophie B. Hawkins
1996,77,"Keep On, Keepin' On",MC LytefeaturingXscape
1996,78,Jealousy,Natalie Merchant
1996,79,I Want to Come Over,Melissa Etheridge
1996,80,Who Do U Love,Deborah Cox
1996,81,Un-Break My Heart,Toni Braxton
1996,82,This Is Your Night,Amber
1996,83,You Remind Me of Something,R. Kelly
1996,84,Runaway,Janet Jackson
1996,85,Set U Free,Planet Soul
1996,86,Hit Me Off,New Edition
1996,87,No One Else,Total
1996,88,My Boo,Ghost Town DJ's
1996,89,Get Money,Junior M.A.F.I.A.featuringThe Notorious B.I.G.
1996,90,That Girl,Maxi PriestfeaturingShaggy
1996,91,Po Pimp,Do or DiefeaturingTwista
1996,92,Until It Sleeps,Metallica
1996,93,Hay,Crucial Conflict
1996,94,Beautiful Life,Ace of Base
1996,95,Back for Good,Take That
1996,96,"I Got Id"" / ""Long Road",Pearl Jam
1996,97,Soon as I Get Home,Faith Evans
1996,98,Macarena,Los del Río
1996,99,Only Wanna Be with You,Hootie & the Blowfish
1996,100,Don't Cry,Seal
1997,1,"Candle in the Wind 1997"" / ""Something About the Way You Look Tonight",Elton John
1997,2,"You Were Meant for Me"" / ""Foolish Games",Jewel
1997,3,I'll Be Missing You,Puff DaddyandFaith Evansfeaturing112
1997,4,Un-Break My Heart,Toni Braxton
1997,5,Can't Nobody Hold Me Down,Puff DaddyfeaturingMase
1997,6,I Believe I Can Fly,R. Kelly
1997,7,Don't Let Go (Love),En Vogue
1997,8,Return of the Mack,Mark Morrison
1997,9,How Do I Live,LeAnn Rimes
1997,10,Wannabe,Spice Girls
1997,11,Quit Playing Games (With My Heart),Backstreet Boys
1997,12,MMMBop,Hanson
1997,13,For You I Will,Monica
1997,14,You Make Me Wanna...,Usher
1997,15,Bitch,Meredith Brooks
1997,16,Nobody,Keith SweatfeaturingAthena Cage
1997,17,Semi-Charmed Life,Third Eye Blind
1997,18,Barely Breathing,Duncan Sheik
1997,19,Hard to Say I'm Sorry,Az YetfeaturingPeter Cetera
1997,20,Mo Money Mo Problems,The Notorious B.I.G.featuringPuff DaddyandMase
1997,21,The Freshmen,The Verve Pipe
1997,22,I Want You,Savage Garden
1997,23,No Diggity,BlackstreetfeaturingDr. Dre
1997,24,I Belong to You (Every Time I See Your Face),Rome
1997,25,Hypnotize,The Notorious B.I.G.
1997,26,Every Time I Close My Eyes,Babyface
1997,27,In My Bed,Dru Hill
1997,28,Say You'll Be There,Spice Girls
1997,29,Do You Know (What It Takes),Robyn
1997,30,4 Seasons of Loneliness,Boyz II Men
1997,31,G.H.E.T.T.O.U.T.,Changing Faces
1997,32,Honey,Mariah Carey
1997,33,I Believe in You and Me,Whitney Houston
1997,34,Da' Dip,Freak Nasty
1997,35,2 Become 1,Spice Girls
1997,36,All for You,Sister Hazel
1997,37,Cupid,112
1997,38,Where Have All the Cowboys Gone?,Paula Cole
1997,39,Sunny Came Home,Shawn Colvin
1997,40,It's Your Love,Tim McGrawwithFaith Hill
1997,41,Ooh Aah... Just a Little Bit,Gina G
1997,42,Mouth,Merril Bainbridge
1997,43,All Cried Out,Allurefeaturing112
1997,44,I'm Still in Love with You,New Edition
1997,45,Invisible Man,98 Degrees
1997,46,Not Tonight,"Lil' KimfeaturingDa Brat,Left Eye,Missy ElliottandAngie Martinez"
1997,47,Look into My Eyes,Bone Thugs-n-Harmony
1997,48,Get It Together,702
1997,49,All by Myself,Celine Dion
1997,51,My Love Is the Shhh!,Somethin' for the PeoplefeaturingTrina & Tamara
1997,52,Where Do You Go,No Mercy
1997,53,I Finally Found Someone,Barbra StreisandandBryan Adams
1997,54,I'll Be,Foxy BrownfeaturingJay-Z
1997,55,If It Makes You Happy,Sheryl Crow
1997,56,Never Make a Promise,Dru Hill
1997,57,When You Love a Woman,Journey
1997,58,Up Jumps da Boogie,Magoo and Timbaland
1997,59,"I Don't Want To"" / ""I Love Me Some Him",Toni Braxton
1997,60,Everyday Is a Winding Road,Sheryl Crow
1997,61,Cold Rock a Party,MC Lyte
1997,62,Pony,Ginuwine
1997,63,Building a Mystery,Sarah McLachlan
1997,64,I Love You Always Forever,Donna Lewis
1997,65,Your Woman,White Town
1997,66,C U When U Get There,Cooliofeaturing 40 Thevz
1997,67,Change the World,Eric Clapton
1997,68,My Baby Daddy,B-Rock and the Bizz
1997,69,Tubthumping,Chumbawamba
1997,70,Gotham City,R. Kelly
1997,71,Last Night,Az Yet
1997,72,ESPN Presents The Jock Jam,Various Artists
1997,73,Big Daddy,Heavy D
1997,74,What About Us,Total
1997,75,Smile,Scarfacefeaturing2Pacand Johnny P.
1997,76,What's on Tonight,Montell Jordan
1997,77,Secret Garden,Bruce Springsteen
1997,78,The One I Gave My Heart To,Aaliyah
1997,79,Fly Like an Eagle,Seal
1997,80,No Time,Lil' KimfeaturingPuff Daddy
1997,81,Naked Eye,Luscious Jackson
1997,82,Macarena(Bayside Boys Mix),Los del Río
1997,83,On & On,Erykah Badu
1997,84,Don't Wanna Be a Player,Joe
1997,85,I Shot the Sheriff,Warren G
1997,86,You Should Be Mine (Don't Waste Your Time),Brian McKnightfeaturingMase
1997,87,Don't Cry for Me Argentina,Madonna
1997,88,Someone,SWVfeaturingPuff Daddy
1997,89,Go the Distance,Michael Bolton
1997,90,One More Time,Real McCoy
1997,91,Butta Love,Next
1997,92,Coco Jamboo,Mr. President
1997,93,Twisted,Keith Sweat
1997,94,Barbie Girl,Aqua
1997,95,"When You're Gone"" / ""Free to Decide",The Cranberries
1997,96,Let Me Clear My Throat,DJ Kool
1997,97,I Like It,The Blackout All-Stars
1997,98,"You're Makin' Me High"" / ""Let It Flow",Toni Braxton
1997,99,You Must Love Me,Madonna
1997,100,Let It Go,Ray J
1998,1,Too Close,Next
1998,2,The Boy Is Mine,BrandyandMonica
1998,3,You're Still the One,Shania Twain
1998,4,Truly Madly Deeply,Savage Garden
1998,5,How Do I Live,LeAnn Rimes
1998,6,Together Again,Janet
1998,7,All My Life,K-Ci & JoJo
1998,8,"Candle in the Wind 1997"" / ""Something About the Way You Look Tonight",Elton John
1998,9,Nice & Slow,Usher
1998,10,I Don't Want to Wait,Paula Cole
1998,11,How's It Going to Be,Third Eye Blind
1998,12,"No, No, No",Destiny's Child
1998,13,My Heart Will Go On,Celine Dion
1998,14,Gettin' Jiggy wit It,Will Smith
1998,15,You Make Me Wanna...,Usher
1998,17,My All,Mariah Carey
1998,18,The First Night,Monica
1998,19,Been Around the World,Puff DaddyfeaturingThe Notorious B.I.G.andMase
1998,20,Adia,Sarah McLachlan
1998,21,Crush,Jennifer Paige
1998,22,Everybody (Backstreet's Back),Backstreet Boys
1998,23,I Don't Want to Miss a Thing,Aerosmith
1998,24,Body Bumpin' (Yippie-Yi-Yo),Public Announcement
1998,25,This Kiss,Faith Hill
1998,26,I Don't Ever Want to See You Again,Uncle Sam
1998,27,Let's Ride,Montell JordanfeaturingMaster PandSilkk the Shocker
1998,28,Sex and Candy,Marcy Playground
1998,29,Show Me Love,Robyn
1998,30,A Song for Mama,Boyz II Men
1998,31,What You Want,MasefeaturingTotal
1998,32,Frozen,Madonna
1998,33,Gone till November,Wyclef Jean
1998,34,My Body,LSG
1998,35,Tubthumping,Chumbawamba
1998,36,Deja Vu (Uptown Baby),Lord Tariq and Peter Gunz
1998,37,I Want You Back,NSYNC
1998,38,When the Lights Go Out,Five
1998,39,They Don't Know,Jon B.
1998,40,Make 'Em Say Uhh!,"Master PfeaturingFiend,Silkk the Shocker,Mia XandMystikal"
1998,41,Make It Hot,NicolefeaturingMissy Elliottand Mocha
1998,42,Never Ever,All Saints
1998,43,I Get Lonely,JanetfeaturingBlackstreet
1998,44,Feel So Good,Mase
1998,45,Say It,Voices of Theory
1998,46,Kiss the Rain,Billie Myers
1998,47,Come with Me,Puff DaddyfeaturingJimmy Page
1998,48,Romeo and Juliet,Sylk-E. Fynefeaturing Chill
1998,49,It's All About Me,MýaandSisqo
1998,50,I Will Come to You,Hanson
1998,51,One Week,Barenaked Ladies
1998,52,Swing My Way,K. P. & Envyi
1998,53,The Arms of the One Who Loves You,Xscape
1998,54,My Love Is the Shhh!,Somethin' for the PeoplefeaturingTrina & Tamara
1998,55,Daydreamin',Tatyana Ali
1998,56,We're Not Making Love No More,Dru Hill
1998,57,Semi-Charmed Life,Third Eye Blind
1998,58,I Do,Lisa Loeb
1998,59,Lookin' at Me,MasefeaturingPuff Daddy
1998,60,Looking Through Your Eyes,LeAnn Rimes
1998,61,Lately,Divine
1998,62,Quit Playing Games (With My Heart),Backstreet Boys
1998,63,I Still Love You,Next
1998,64,Time After Time,INOJ
1998,65,Are You Jimmy Ray?,Jimmy Ray
1998,66,Cruel Summer,Ace of Base
1998,67,I Got the Hook Up,Master PfeaturingSons of Funk
1998,68,Victory,Puff Daddy& the Family featuringThe Notorious B.I.G.andBusta Rhymes
1998,69,Too Much,Spice Girls
1998,70,Ghetto Supastar (That Is What You Are),Pras MichelfeaturingOl' Dirty BastardandMýa
1998,71,How Deep Is Your Love,Dru HillfeaturingRedman
1998,72,Friend of Mine,Kelly Price
1998,73,Turn It Up (Remix)/Fire It Up,Busta Rhymes
1998,74,I'll Be,Edwin McCain
1998,75,Ray of Light,Madonna
1998,76,All for You,Sister Hazel
1998,77,Touch It,Monifah
1998,78,"Money, Power & Respect",The LoxfeaturingDMXandLil' Kim
1998,79,Bitter Sweet Symphony,The Verve
1998,80,Dangerous,Busta Rhymes
1998,81,Spice Up Your Life,Spice Girls
1998,82,Because of You,98 Degrees
1998,83,The Mummers' Dance,Loreena McKennitt
1998,84,All Cried Out,Allurefeaturing112
1998,85,Still Not a Player,Big PunisherfeaturingJoe
1998,86,The One I Gave My Heart To,Aaliyah
1998,87,"Foolish Games"" / ""You Were Meant for Me",Jewel
1998,88,Love You Down,INOJ
1998,89,Do for Love,2Pacfeaturing Eric Williams
1998,90,Raise the Roof,LukefeaturingNo Good But So Good
1998,91,Heaven,Nu Flavor
1998,92,The Party Continues,JDfeaturingDa Brat
1998,93,Sock It 2 Me,Missy ElliottfeaturingDa Brat
1998,94,Butta Love,Next
1998,95,A Rose Is Still a Rose,Aretha Franklin
1998,96,4 Seasons of Loneliness,Boyz II Men
1998,97,Father,LL Cool J
1998,98,Thinkin' Bout It,Gerald Levert
1998,99,Nobody's Supposed to Be Here,Deborah Cox
1998,100,Westside,TQ
1999,1,Believe,Cher
1999,2,No Scrubs,TLC
1999,3,Angel of Mine,Monica
1999,4,Heartbreak Hotel,Whitney HoustonfeaturingFaith EvansandKelly Price
1999,5,...Baby One More Time,Britney Spears
1999,6,Kiss Me,Sixpence None the Richer
1999,7,Genie in a Bottle,Christina Aguilera
1999,8,Every Morning,Sugar Ray
1999,9,Nobody's Supposed to Be Here,Deborah Cox
1999,10,Livin' la Vida Loca,Ricky Martin
1999,11,Where My Girls At?,702
1999,12,If You Had My Love,Jennifer Lopez
1999,13,Slide,Goo Goo Dolls
1999,14,Have You Ever?,Brandy
1999,15,I Want It That Way,Backstreet Boys
1999,16,I'm Your Angel,R. KellyandCeline Dion
1999,17,All Star,Smash Mouth
1999,18,Angel,Sarah McLachlan
1999,19,Smooth,SantanafeaturingRob Thomas
1999,20,Unpretty,TLC
1999,21,"Bills, Bills, Bills",Destiny's Child
1999,22,Save Tonight,Eagle-Eye Cherry
1999,23,Last Kiss,Pearl Jam
1999,24,Fortunate,Maxwell
1999,25,All I Have to Give,Backstreet Boys
1999,26,Bailamos,Enrique Iglesias
1999,27,What's It Gonna Be?!,Busta RhymesfeaturingJanet
1999,28,What It's Like,Everlast
1999,29,Fly Away,Lenny Kravitz
1999,30,Someday,Sugar Ray
1999,31,Lately,Divine
1999,32,That Don't Impress Me Much,Shania Twain
1999,33,Wild Wild West,Will SmithfeaturingDru HillandKool Moe Dee
1999,34,Scar Tissue,Red Hot Chili Peppers
1999,35,Heartbreaker,Mariah CareyfeaturingJay-Z
1999,36,I Still Believe,Mariah Carey
1999,37,The Hardest Thing,98 Degrees
1999,38,Summer Girls,LFO
1999,39,Can I Get A...,Jay-ZfeaturingAmilandJa Rule
1999,40,Jumper,Third Eye Blind
1999,41,Doo Wop (That Thing),Lauryn Hill
1999,42,Mambo No. 5,Lou Bega
1999,43,Sweet Lady,Tyrese
1999,44,It's Not Right but It's Okay,Whitney Houston
1999,45,(God Must Have Spent) A Little More Time on You,NSYNC
1999,46,Lullaby,Shawn Mullins
1999,47,Anywhere,112featuringLil Zane
1999,48,Tell Me It's Real,K-Ci & JoJo
1999,49,Back 2 Good,Matchbox 20
1999,50,808,Blaque
1999,51,She's So High,Tal Bachman
1999,52,She's All I Ever Had,Ricky Martin
1999,53,Miami,Will Smith
1999,54,Hands,Jewel
1999,55,Who Dat,JT MoneyfeaturingSolé
1999,56,Please Remember Me,Tim McGraw
1999,57,From This Moment On,Shania Twain
1999,58,Love Like This,Faith Evans
1999,59,You,Jesse Powell
1999,60,Trippin',TotalfeaturingMissy Elliott
1999,61,If You,Silk
1999,62,Ex-Factor,Lauryn Hill
1999,63,Give It to You,Jordan Knight
1999,64,Black Balloon,Goo Goo Dolls
1999,65,Spend My Life with You,Eric BenétfeaturingTamia
1999,66,These Are the Times,Dru Hill
1999,67,I Don't Want to Miss a Thing,Mark Chesnutt
1999,68,I Do (Cherish You),98 Degrees
1999,70,I Will Remember You,Sarah McLachlan
1999,71,Chanté's Got a Man,Chanté Moore
1999,72,Happily Ever After,Case
1999,73,My Love Is Your Love,Whitney Houston
1999,74,All Night Long,Faith EvansfeaturingPuff Daddy
1999,75,Back That Thang Up,JuvenilefeaturingMannie FreshandLil Wayne
1999,76,Almost Doesn't Count,Brandy
1999,77,Man! I Feel Like a Woman!,Shania Twain
1999,78,Steal My Sunshine,Len
1999,79,I Need to Know,Marc Anthony
1999,80,So Anxious,Ginuwine
1999,81,Faded Pictures,CasefeaturingJoe
1999,82,Back at One,Brian McKnight
1999,83,When a Woman's Fed Up,R. Kelly
1999,84,How Forever Feels,Kenny Chesney
1999,85,Amazed,Lonestar
1999,86,Sometimes,Britney Spears
1999,87,Ghetto Cowboy,Mo Thugs
1999,88,Out of My Head,Fastball
1999,89,Hard Knock Life (Ghetto Anthem),Jay-Z
1999,90,Jamboree,Naughty by NaturefeaturingZhané
1999,91,Take Me There,"BlackstreetfeaturingMýa,MaseandBlinky Blink"
1999,92,Stay the Same,Joey McIntyre
1999,93,A Lesson in Leavin',Jo Dee Messina
1999,94,Iris,Goo Goo Dolls
1999,95,Satisfy You,Puff DaddyfeaturingR. Kelly
1999,96,Better Days (And the Bottom Drops Out),Citizen King
1999,97,Music of My Heart,NSYNCandGloria Estefan
1999,98,Write This Down,George Strait
1999,99,When You Believe,Whitney HoustonandMariah Carey
1999,100,(God Must Have Spent) A Little More Time on You,AlabamaandNSYNC
2000,1,Breathe,Faith Hill
2000,2,Smooth,SantanafeaturingRob Thomas
2000,3,Maria Maria,SantanafeaturingThe Product G&B
2000,4,I Wanna Know,Joe
2000,5,Everything You Want,Vertical Horizon
2000,6,Say My Name,Destiny's Child
2000,7,I Knew I Loved You,Savage Garden
2000,8,Amazed,Lonestar
2000,9,Bent,Matchbox Twenty
2000,10,He Wasn't Man Enough,Toni Braxton
2000,11,Higher,Creed
2000,12,Try Again,Aaliyah
2000,13,"Jumpin', Jumpin'",Destiny's Child
2000,14,Thong Song,Sisqó
2000,15,Kryptonite,3 Doors Down
2000,16,There You Go,Pink
2000,17,Music,Madonna
2000,18,Doesn't Really Matter,Janet Jackson
2000,19,What a Girl Wants,Christina Aguilera
2000,20,Back at One,Brian McKnight
2000,21,Bye Bye Bye,NSYNC
2000,22,You Sang to Me,Marc Anthony
2000,24,Get It On Tonite,Montell Jordan
2000,25,Incomplete,Sisqó
2000,26,I Try,Macy Gray
2000,27,It's Gonna Be Me,NSYNC
2000,28,That's the Way It Is,Celine Dion
2000,29,Country Grammar (Hot Shit),Nelly
2000,30,Bring It All to Me,Blaque
2000,31,Show Me the Meaning of Being Lonely,Backstreet Boys
2000,32,Hot Boyz,"Missy ElliottfeaturingNas,EveandQ-Tip"
2000,33,Back Here,BBMak
2000,34,It Feels So Good,Sonique
2000,35,Absolutely (Story of a Girl),Nine Days
2000,36,With Arms Wide Open,Creed
2000,37,Be with You,Enrique Iglesias
2000,38,Come On Over Baby (All I Want Is You),Christina Aguilera
2000,39,No More,Ruff Endz
2000,40,All the Small Things,Blink-182
2000,41,The Way You Love Me,Faith Hill
2000,42,I Turn to You,Christina Aguilera
2000,43,Never Let You Go,Third Eye Blind
2000,44,I Need You,LeAnn Rimes
2000,45,Thank God I Found You,Mariah CareyfeaturingJoeand98 Degrees
2000,46,Let's Get Married,Jagged Edge
2000,47,My Love Is Your Love,Whitney Houston
2000,48,Then the Morning Comes,Smash Mouth
2000,49,Blue (Da Ba Dee),Eiffel 65
2000,50,Desert Rose,StingfeaturingCheb Mami
2000,51,The Real Slim Shady,Eminem
2000,52,Most Girls,Pink
2000,53,Wifey,Next
2000,54,Wonderful,Everclear
2000,55,Oops!... I Did It Again,Britney Spears
2000,56,I Wanna Love You Forever,Jessica Simpson
2000,57,Give Me Just One Night (Una Noche),98 Degrees
2000,58,Take a Picture,Filter
2000,59,Otherside,Red Hot Chili Peppers
2000,60,Big Pimpin',Jay-ZfeaturingUGK
2000,61,Purest of Pain (A Puro Dolor),Son by Four
2000,62,He Can't Love U,Jagged Edge
2000,63,Separated,Avant
2000,64,I Wish,Carl Thomas
2000,65,U Know What's Up,Donell Jones
2000,66,Faded,soulDecisionfeaturingThrust
2000,67,Only God Knows Why,Kid Rock
2000,68,Shake Ya Ass,Mystikal
2000,69,Bag Lady,Erykah Badu
2000,70,Meet Virginia,Train
2000,71,Party Up (Up in Here),DMX
2000,72,Case of the Ex (Whatcha Gonna Do),Mýa
2000,73,Forgot About Dre,Dr. DrefeaturingEminem
2000,74,That's the Way,Jo Dee Messina
2000,75,Swear It Again,Westlife
2000,76,The Next Episode,Dr. DrefeaturingSnoop Dogg
2000,77,From the Bottom of My Broken Heart,Britney Spears
2000,78,Crash and Burn,Savage Garden
2000,79,Yes!,Chad Brock
2000,80,The Best Day,George Strait
2000,81,Where I Wanna Be,Donell Jones
2000,82,How Do You Like Me Now?!,Toby Keith
2000,83,My Best Friend,Tim McGraw
2000,84,Broadway,Goo Goo Dolls
2000,85,What'chu Like,Da BratfeaturingTyrese
2000,86,Don't Think I'm Not,Kandi
2000,87,I Hope You Dance,Lee Ann WomackwithSons of the Desert
2000,88,Better Off Alone,Alice Deejay
2000,89,Dance with Me,Debelah Morgan
2000,90,What About Now,Lonestar
2000,91,I Like It,Sammie
2000,92,24/7,Kevon Edmonds
2000,93,Girl on TV,LFO
2000,94,Bounce with Me,Lil' Bow WowfeaturingXscape
2000,95,Cowboy Take Me Away,Dixie Chicks
2000,96,I Don't Wanna,Aaliyah
2000,97,Independent Women Part I,Destiny's Child
2000,98,Gotta Tell You,Samantha Mumba
2000,99,Waiting for Tonight,Jennifer Lopez
2000,100,Shackles (Praise You),Mary Mary
2001,1,Hanging by a Moment,Lifehouse
2001,2,Fallin',Alicia Keys
2001,3,All for You,Janet Jackson
2001,4,Drops of Jupiter (Tell Me),Train
2001,5,I'm Real(Murder Remix),Jennifer LopezfeaturingJa Rule
2001,6,If You're Gone,Matchbox Twenty
2001,7,Let Me Blow Ya Mind,EvefeaturingGwen Stefani
2001,8,Thank You,Dido
2001,9,Again,Lenny Kravitz
2001,10,Independent Women Part I,Destiny's Child
2001,11,Hit 'Em Up Style (Oops!),Blu Cantrell
2001,12,It Wasn't Me,ShaggyfeaturingRikrok
2001,13,Stutter,JoefeaturingMystikal
2001,14,It's Been Awhile,Staind
2001,15,U Remind Me,Usher
2001,16,Where the Party At,Jagged EdgewithNelly
2001,17,Angel,ShaggyfeaturingRayvon
2001,18,Ride wit Me,NellyfeaturingCity Spud
2001,19,Follow Me,Uncle Kracker
2001,20,Peaches & Cream,112
2001,21,Drive,Incubus
2001,22,What Would You Do?,City High
2001,23,Survivor,Destiny's Child
2001,24,Lady Marmalade,"Christina Aguilera,Lil' Kim,MýaandPink"
2001,25,Ms. Jackson,Outkast
2001,26,Love Don't Cost a Thing,Jennifer Lopez
2001,27,The Way You Love Me,Faith Hill
2001,28,He Loves U Not,Dream
2001,29,Butterfly,Crazy Town
2001,30,Put It on Me,Ja RulefeaturingLil' MoandVita
2001,31,Family Affair,Mary J. Blige
2001,32,I Hope You Dance,Lee Ann Womack
2001,33,South Side,MobyfeaturingGwen Stefani
2001,34,Don't Tell Me,Madonna
2001,35,Get Ur Freak On,Missy Elliott
2001,36,Crazy,K-Ci & JoJo
2001,37,Fill Me In,Craig David
2001,38,Someone to Call My Lover,Janet Jackson
2001,39,With Arms Wide Open,Creed
2001,40,Case of the Ex (Whatcha Gonna Do),Mýa
2001,41,All or Nothing,O-Town
2001,42,Bootylicious,Destiny's Child
2001,43,I'm Like a Bird,Nelly Furtado
2001,44,Kryptonite,3 Doors Down
2001,45,Fiesta,R. KellyfeaturingJay-Z
2001,46,When It's Over,Sugar Ray
2001,47,Jaded,Aerosmith
2001,48,Promise,Jagged Edge
2001,49,Missing You,Case
2001,50,Differences,Ginuwine
2001,51,This I Promise You,NSYNC
2001,52,Izzo (H.O.V.A.),Jay-Z
2001,53,Superwoman Pt. II,Lil' MofeaturingFabolous
2001,54,Crazy for This Girl,Evan and Jaron
2001,55,Nobody Wants to Be Lonely,Ricky MartinandChristina Aguilera
2001,56,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001,57,One Minute Man,Missy ElliottfeaturingLudacris
2001,58,Danger (Been So Long),MystikalfeaturingNivea
2001,59,Only Time,Enya
2001,60,I Do!!,Toya
2001,61,Never Had a Dream Come True,S Club 7
2001,62,Stranger in My House,Tamia
2001,63,Irresistible,Jessica Simpson
2001,64,Heard It All Before,Sunshine Anderson
2001,65,The Space Between,Dave Matthews Band
2001,66,There You'll Be,Faith Hill
2001,67,Love,Musiq Soulchild
2001,68,It's Over Now,112
2001,69,No More (Baby I'ma Do Right),3LW
2001,70,Turn Off the Light,Nelly Furtado
2001,71,Ain't Nothing 'bout You,Brooks & Dunn
2001,72,Play,Jennifer Lopez
2001,73,I'm Already There,Lonestar
2001,74,My Baby,Lil' Romeo
2001,75,Beautiful Day,U2
2001,76,Austin,Blake Shelton
2001,77,Southern Hospitality,Ludacris
2001,78,Grown Men Don't Cry,Tim McGraw
2001,79,Livin' It Up,Ja RulefeaturingCase
2001,80,Loverboy,Mariah CareyfeaturingCameo
2001,81,Contagious,The Isley BrothersfeaturingR. KellyandChanté Moore
2001,82,Who I Am,Jessica Andrews
2001,83,Music,Erick SermonfeaturingMarvin Gaye
2001,84,I Wanna Be Bad,Willa Ford
2001,85,Don't Happen Twice,Kenny Chesney
2001,86,One More Day,Diamond Rio
2001,87,I Wish,R. Kelly
2001,88,It's a Great Day to Be Alive,Travis Tritt
2001,89,I'm a Thug,Trick Daddy
2001,90,Here's to the Night,Eve 6
2001,91,You Shouldn't Kiss Me Like This,Toby Keith
2001,92,Get Over Yourself,Eden's Crush
2001,93,Dance with Me,Debelah Morgan
2001,94,"So Fresh, So Clean",Outkast
2001,95,E.I.,Nelly
2001,96,Be Like That,3 Doors Down
2001,97,Most Girls,Pink
2001,98,Oochie Wally,QB FinestfeaturingNasandBravehearts
2001,99,Hero,Enrique Iglesias
2001,100,Hemorrhage (In My Hands),Fuel
2002,1,How You Remind Me,Nickelback
2002,2,Foolish,Ashanti
2002,3,Hot in Herre,Nelly
2002,4,Dilemma,NellyfeaturingKelly Rowland
2002,5,Wherever You Will Go,The Calling
2002,6,A Thousand Miles,Vanessa Carlton
2002,7,In the End,Linkin Park
2002,8,What's Luv?,Fat JoefeaturingAshanti
2002,9,U Got It Bad,Usher
2002,10,Blurry,Puddle of Mudd
2002,11,Complicated,Avril Lavigne
2002,12,Always on Time,Ja RulefeaturingAshanti
2002,13,Ain't It Funny (Murder Remix),Jennifer LopezfeaturingJa Rule
2002,14,The Middle,Jimmy Eat World
2002,15,I Need a Girl (Part One),P. DiddyfeaturingUsherandLoon
2002,16,U Don't Have to Call,Usher
2002,17,Family Affair,Mary J. Blige
2002,18,I Need a Girl (Part Two),"P. DiddyfeaturingGinuwine,LoonandMario Winans"
2002,19,Gangsta Lovin',EvefeaturingAlicia Keys
2002,20,My Sacrifice,Creed
2002,21,Without Me,Eminem
2002,22,Hero,Enrique Iglesias
2002,23,All You Wanted,Michelle Branch
2002,24,Get the Party Started,Pink
2002,25,Hero,Chad KroegerfeaturingJosey Scott
2002,26,Wasting My Time,Default
2002,27,One Last Breath,Creed
2002,28,"Whenever, Wherever",Shakira
2002,29,I'm Gonna Be Alright,Jennifer LopezfeaturingNas
2002,30,Oh Boy,Cam'ronfeaturingJuelz Santana
2002,31,Heaven,DJ SammyfeaturingYanouandDo
2002,32,Hey Baby,No DoubtfeaturingBounty Killer
2002,33,Girlfriend,NSYNCfeaturingNelly
2002,34,Just a Friend 2002,Mario
2002,35,Soak Up the Sun,Sheryl Crow
2002,36,Don't Let Me Get Me,Pink
2002,37,Nothin',N.O.R.E.
2002,38,Oops (Oh My),TweetfeaturingMissy Elliott
2002,39,A Moment Like This,Kelly Clarkson
2002,40,Addictive,Truth HurtsfeaturingRakim
2002,41,Happy,Ashanti
2002,42,No Such Thing,John Mayer
2002,43,Just Like a Pill,Pink
2002,44,Down 4 U,"Ja RulefeaturingAshanti,Charli BaltimoreandVita"
2002,45,Can't Get You Out of My Head,Kylie Minogue
2002,46,Superman (It's Not Easy),Five for Fighting
2002,47,Cleanin' Out My Closet,Eminem
2002,48,Halfcrazy,Musiq Soulchild
2002,49,"Lights, Camera, Action!",Mr. Cheeks
2002,50,Still Fly,Big Tymers
2002,51,A Woman's Worth,Alicia Keys
2002,52,7 Days,Craig David
2002,53,Hey Ma,Cam'ronfeaturingJuelz SantanaandFreekey Zekey
2002,54,Work It,Missy Elliott
2002,55,Move Bitch,LudacrisfeaturingMystikalandI-20
2002,56,Can't Fight the Moonlight,LeAnn Rimes
2002,57,Escape,Enrique Iglesias
2002,58,More Than A Woman,Aaliyah
2002,59,Hella Good,No Doubt
2002,60,I Love You,Faith Evans
2002,61,Gotta Get thru This,Daniel Bedingfield
